"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
AJI,""Агръ"",""Agri"",""39.7216667:43.0566667"",,""Turkey""
AJJ,""Акжужт"",""Akjoujt"",""19.747311:-14.39091"",""Africa/Nouakchott"",""Mauritania""
AJK,""Арак"",""Araak"",""34.140461:49.848436"",,""Iran""
AJL,""Аиджал"",""Aizawl"",""23.75:92.8"",""Asia/Kolkata"",""India""
AJN,""Анжуан"",""Anjouan"",""-12.2138145:44.4370606"",""Indian/Comoro"",""Comoros""
AJO,""Альюф"",""Aljouf"",""15.72:44.25"",""Asia/Aden"",""Yemen""
AJR,""Арвидсъяур"",""Arvidsjaur"",""65.59:19.28"",""Europe/Stockholm"",""Sweden""
AJS,""Арбеохос"",""Abreojos"",""26.73:-113.56"",""America/Hermosillo"",""Mexico""
AJU,""Аракажу"",""Aracaju"",""-10.9095421:-37.0747732"",""America/Maceio"",""Brazil""
AJY,""Агадес"",""Agades"",""16.9666667:7.9833333"",""Africa/Niamey"",""Niger""
AKA,""Анкан"",""Ankang"",""32.684781:109.029303"",""Asia/Chongqing"",""China""
AKB,""Атка"",""Atka"",""52.1961111:-174.2005556"",""America/Adak"",""United States""
AKC,""Акрон"",""Akron"",""41.0814447:-81.5190053"",,""United States""
AKD,""Акола"",""Akola"",""20.70388:76.997093"",""Asia/Kolkata"",""India""
AKE,""Акиени"",""Akieni"",""-1.13:13.92"",""Africa/Libreville"",""Gabon""
AKF,""Куфра"",""Kufrah"",""24.18:23.31"",""Africa/Tripoli"",""Libya""
AKG,""Ангуганак"",""Anguganak"",""-3.55:142.22"",""Pacific/Port_Moresby"",""Papua New Guinea""
AKH,""Эль-Харж"",""Al Kharj"",""24.1585059:47.3217253"",,""Saudi Arabia""
AKI,""Акиак"",""Akiak"",""60.9122222:-161.2138889"",""America/Nome"",""United States""
AKJ,""Асахикава"",""Asahikawa"",""43.7706355:142.364819"",""Asia/Tokyo"",""Japan""
AKK,""Акхайок"",""Akhiok"",""56.9455556:-154.1702778"",""America/Anchorage"",""United States""
AKL,""Окленд"",""Auckland"",""-36.8484597:174.7633315"",""Pacific/Auckland"",""New Zealand""
AKM,""Закума"",""Zakouma"",""10.9:19.82"",""Africa/Ndjamena"",""Chad""
AKN,""Кинг Салмон"",""King Salmon"",""58.6883333:-156.6613889"",""America/Los_Angeles"",""United States""
AKO,""Акрон"",""Akron"",""40.1605373:-103.2143843"",""America/Phoenix"",""United States""
AKP,""Анактавак"",""Anaktuvuk"",""68.13:-151.74"",""America/Nome"",""United States""
AKQ,""Ганунг Батин"",""Astraksetra"",""-4.616667:105.233333"",""Asia/Pontianak"",""Indonesia""
AKR,""Акуре"",""Akure"",""7.25:5.3"",""Africa/Lagos"",""Nigeria""
AKT,""Акротири"",""Akrotiri"",""34.59:32.99"",""Asia/Nicosia"",""Cyprus""
AKU,""Аксу"",""Aksu"",""41.168779:80.260605"",""Asia/Kashgar"",""China""
AKV,""Акуливик"",""Akulivik"",""60.817681:-78.1442409"",""America/Montreal"",""Canada""
